reactionID,dcid
bio/HMR_6719,bio/H
bio/HMR_6730,bio/H
bio/HMR_6735,bio/H
bio/HMR_6736,bio/H
bio/HMR_6737,bio/H
bio/HMR_6739,bio/H
bio/HMR_6740,bio/H
bio/HMR_6743,bio/H
bio/HMR_6746,bio/H
bio/HMR_6748,bio/H
bio/HMR_6749,bio/H
bio/HMR_6750,bio/H
bio/HMR_6751,bio/H
bio/HMR_6752,bio/H
bio/HMR_6753,bio/H
bio/HMR_6754,bio/H
bio/HMR_6755,bio/H
bio/HMR_6757,bio/H
bio/HMR_6758,bio/H
bio/HMR_6760,bio/H
bio/HMR_6761,bio/H
bio/HMR_6762,bio/H
bio/HMR_6763,bio/H
bio/HMR_6764,bio/H
bio/HMR_6766,bio/H
bio/HMR_6767,bio/H
bio/HMR_6770,bio/H
bio/HMR_6774,bio/H
bio/HMR_6778,bio/H
bio/HMR_6785,bio/H
bio/HMR_6786,bio/H
bio/HMR_6788,bio/H
bio/HMR_6789,bio/H
bio/HMR_6790,bio/H
bio/HMR_6791,bio/H
bio/HMR_6802,bio/H
bio/HMR_6813,bio/H
bio/HMR_6818,bio/H
bio/HMR_6822,bio/H
bio/HMR_6828,bio/H
bio/HMR_6829,bio/H
bio/HMR_6831,bio/H
bio/HMR_6838,bio/H
bio/HMR_6839,bio/H
bio/HMR_6844,bio/H
bio/HMR_6845,bio/H
bio/HMR_6850,bio/H
bio/HMR_6851,bio/H
bio/HMR_6881,bio/H
bio/HMR_6885,bio/H
bio/HMR_7756,bio/H
bio/HMR_3881,bio/H
bio/HMR_3917,bio/H
bio/HMR_3920,bio/H
bio/HMR_4072,bio/H
bio/HMR_4302,bio/H
bio/HMR_5381,bio/H
bio/HMR_5388,bio/H
bio/HMR_5389,bio/H
bio/HMR_5390,bio/H
bio/HMR_6518,bio/H
bio/HMR_6519,bio/H
bio/HMR_8068,bio/H
bio/HMR_8683,bio/H
bio/HMR_8685,bio/H
bio/HMR_3889,bio/H
bio/HMR_3937,bio/H
bio/HMR_4324,bio/H
bio/HMR_4326,bio/H
bio/HMR_8771,bio/H
bio/HMR_4079,bio/H
bio/HMR_4425,bio/H
bio/HMR_4689,bio/H
bio/HMR_7992,bio/H
bio/HMR_7993,bio/H
bio/HMR_7129,bio/H
bio/HMR_7130,bio/H
bio/HMR_7134,bio/H
bio/HMR_7137,bio/H
bio/HMR_7141,bio/H
bio/HMR_3790,bio/H
bio/HMR_4299,bio/H
bio/HMR_4494,bio/H
bio/HMR_4524,bio/H
bio/HMR_4526,bio/H
bio/HMR_4528,bio/H
bio/HMR_4533,bio/H
bio/HMR_4534,bio/H
bio/HMR_4628,bio/H
bio/HMR_8366,bio/H
bio/HMR_8367,bio/H
bio/HMR_7256,bio/H
bio/HMR_7258,bio/H
bio/HMR_7263,bio/H
bio/HMR_7265,bio/H
bio/HMR_7266,bio/H
bio/HMR_7267,bio/H
bio/HMR_7268,bio/H
bio/HMR_7269,bio/H
bio/HMR_7270,bio/H
bio/HMR_5151,bio/H
bio/HMR_5152,bio/H
bio/HMR_5153,bio/H
bio/HMR_5154,bio/H
bio/HMR_5155,bio/H
bio/HMR_5156,bio/H
bio/HMR_5157,bio/H
bio/HMR_5158,bio/H
bio/HMR_5159,bio/H
bio/HMR_5160,bio/H
bio/HMR_5161,bio/H
bio/HMR_5162,bio/H
bio/HMR_5163,bio/H
bio/HMR_5164,bio/H
bio/HMR_5165,bio/H
bio/HMR_5166,bio/H
bio/HMR_5167,bio/H
bio/HMR_5168,bio/H
bio/HMR_5169,bio/H
bio/HMR_5170,bio/H
bio/HMR_5171,bio/H
bio/HMR_5172,bio/H
bio/HMR_5173,bio/H
bio/HMR_5174,bio/H
bio/HMR_7617,bio/H
bio/HMR_7619,bio/H
bio/HMR_5258,bio/H
bio/HMR_5259,bio/H
bio/HMR_5260,bio/H
bio/HMR_5262,bio/H
bio/HMR_5264,bio/H
bio/HMR_5266,bio/H
bio/HMR_5268,bio/H
bio/HMR_5269,bio/H
bio/HMR_5270,bio/H
bio/HMR_5271,bio/H
bio/HMR_5273,bio/H
bio/HMR_5275,bio/H
bio/HMR_5277,bio/H
bio/HMR_5279,bio/H
bio/HMR_5281,bio/H
bio/HMR_5283,bio/H
bio/HMR_5288,bio/H
bio/HMR_9817,bio/H
bio/HMR_9818,bio/H
bio/HMR_3851,bio/H
bio/HMR_4840,bio/H
bio/HMR_8772,bio/H
bio/HMR_8775,bio/H
bio/HMR_8780,bio/H
bio/HMR_8781,bio/H
bio/HMR_3977,bio/H
bio/HMR_4156,bio/H
bio/HMR_2172,bio/H
bio/HMR_2177,bio/H
bio/HMR_2182,bio/H
bio/HMR_2248,bio/H
bio/HMR_2253,bio/H
bio/HMR_2258,bio/H
bio/HMR_2447,bio/H
bio/HMR_2451,bio/H
bio/HMR_2452,bio/H
bio/HMR_2461,bio/H
bio/HMR_2467,bio/H
bio/HMR_2469,bio/H
bio/HMR_6399,bio/H
bio/HMR_2545,bio/H
bio/HMR_2546,bio/H
bio/HMR_2559,bio/H
bio/HMR_2560,bio/H
bio/HMR_0973,bio/H
bio/HMR_0980,bio/H
bio/HMR_0989,bio/H
bio/HMR_0990,bio/H
bio/HMR_1040,bio/H
bio/HMR_1066,bio/H
bio/HMR_1069,bio/H
bio/HMR_1093,bio/H
bio/HMR_1098,bio/H
bio/HMR_1100,bio/H
bio/HMR_1116,bio/H
bio/HMR_1123,bio/H
bio/HMR_1129,bio/H
bio/HMR_1197,bio/H
bio/HMR_1241,bio/H
bio/HMR_1244,bio/H
bio/HMR_1280,bio/H
bio/HMR_0154,bio/H
bio/HMR_0189,bio/H
bio/HMR_0193,bio/H
bio/HMR_0197,bio/H
bio/HMR_0201,bio/H
bio/HMR_0206,bio/H
bio/HMR_0210,bio/H
bio/HMR_0214,bio/H
bio/HMR_0223,bio/H
bio/HMR_0230,bio/H
bio/HMR_0234,bio/H
bio/HMR_0238,bio/H
bio/HMR_0242,bio/H
bio/HMR_0246,bio/H
bio/HMR_0250,bio/H
bio/HMR_0256,bio/H
bio/HMR_0260,bio/H
bio/HMR_0264,bio/H
bio/HMR_0268,bio/H
bio/HMR_0272,bio/H
bio/HMR_0276,bio/H
bio/HMR_0280,bio/H
bio/HMR_0284,bio/H
bio/HMR_0290,bio/H
bio/HMR_0294,bio/H
bio/HMR_0298,bio/H
bio/HMR_0302,bio/H
bio/HMR_0306,bio/H
bio/HMR_0310,bio/H
bio/HMR_0314,bio/H
bio/HMR_0320,bio/H
bio/HMR_0324,bio/H
bio/HMR_0328,bio/H
bio/HMR_0332,bio/H
bio/HMR_0338,bio/H
bio/HMR_0342,bio/H
bio/HMR_0346,bio/H
bio/HMR_0350,bio/H
bio/HMR_0354,bio/H
bio/HMR_0358,bio/H
bio/HMR_0362,bio/H
bio/HMR_0366,bio/H
bio/HMR_0370,bio/H
bio/HMR_0374,bio/H
bio/HMR_0378,bio/H
bio/HMR_0382,bio/H
bio/HMR_0386,bio/H
bio/HMR_0390,bio/H
bio/HMR_0394,bio/H
bio/HMR_0398,bio/H
bio/HMR_0402,bio/H
bio/HMR_0406,bio/H
bio/HMR_0410,bio/H
bio/HMR_0414,bio/H
bio/HMR_0418,bio/H
bio/HMR_0422,bio/H
bio/HMR_0426,bio/H
bio/HMR_0430,bio/H
bio/HMR_0434,bio/H
bio/HMR_0438,bio/H
bio/HMR_3477,bio/H
bio/HMR_2771,bio/H
bio/HMR_0604,bio/H
bio/HMR_0665,bio/H
bio/HMR_0667,bio/H
bio/HMR_0668,bio/H
bio/HMR_0669,bio/H
bio/HMR_0670,bio/H
bio/HMR_0671,bio/H
bio/HMR_0672,bio/H
bio/HMR_0679,bio/H
bio/HMR_0680,bio/H
bio/HMR_0681,bio/H
bio/HMR_0682,bio/H
bio/HMR_0683,bio/H
bio/HMR_0684,bio/H
bio/HMR_1920,bio/H
bio/HMR_1941,bio/H
bio/HMR_1949,bio/H
bio/HMR_1951,bio/H
bio/HMR_1990,bio/H
bio/HMR_1991,bio/H
bio/HMR_2002,bio/H
bio/HMR_2003,bio/H
bio/HMR_6793,bio/H
bio/HMR_6794,bio/H
bio/HMR_7930,bio/H
bio/HMR_7973,bio/H
bio/HMR_7974,bio/H
bio/HMR_7978,bio/H
bio/HMR_1952,bio/H
bio/HMR_1953,bio/H
bio/HMR_1962,bio/H
bio/HMR_1963,bio/H
bio/HMR_1967,bio/H
bio/HMR_1969,bio/H
bio/HMR_1982,bio/H
bio/HMR_2020,bio/H
bio/HMR_2022,bio/H
bio/HMR_1445,bio/H
bio/HMR_1495,bio/H
bio/HMR_1496,bio/H
bio/HMR_1505,bio/H
bio/HMR_1546,bio/H
bio/HMR_1551,bio/H
bio/HMR_1437,bio/H
bio/HMR_2037,bio/H
bio/HMR_2038,bio/H
bio/HMR_2045,bio/H
bio/HMR_2048,bio/H
bio/HMR_2052,bio/H
bio/HMR_2058,bio/H
bio/HMR_2064,bio/H
bio/HMR_2079,bio/H
bio/HMR_2099,bio/H
bio/HMR_2102,bio/H
bio/HMR_0744,bio/H
bio/HMR_0750,bio/H
bio/HMR_0760,bio/H
bio/HMR_0761,bio/H
bio/HMR_0773,bio/H
bio/HMR_0795,bio/H
bio/HMR_8219,bio/H
bio/HMR_8246,bio/H
bio/HMR_0456,bio/H
bio/HMR_0673,bio/H
bio/HMR_0674,bio/H
bio/HMR_0675,bio/H
bio/HMR_0676,bio/H
bio/HMR_0677,bio/H
bio/HMR_0678,bio/H
bio/HMR_4296,bio/H
bio/HMR_7599,bio/H
bio/HMR_0450,bio/H
bio/HMR_0468,bio/H
bio/HMR_0484,bio/H
bio/HMR_0607,bio/H
bio/HMR_0610,bio/H
bio/HMR_0614,bio/H
bio/HMR_0615,bio/H
bio/HMR_0616,bio/H
bio/HMR_0625,bio/H
bio/HMR_0629,bio/H
bio/HMR_0630,bio/H
bio/HMR_0633,bio/H
bio/HMR_0635,bio/H
bio/HMR_0636,bio/H
bio/HMR_0641,bio/H
bio/HMR_0642,bio/H
bio/HMR_0643,bio/H
bio/HMR_0645,bio/H
bio/HMR_0646,bio/H
bio/HMR_0647,bio/H
bio/HMR_0648,bio/H
bio/HMR_0653,bio/H
bio/HMR_0654,bio/H
bio/HMR_0657,bio/H
bio/HMR_0660,bio/H
bio/HMR_4627,bio/H
bio/HMR_4838,bio/H
bio/HMR_7591,bio/H
bio/HMR_7611,bio/H
bio/HMR_8518,bio/H
bio/HMR_8522,bio/H
bio/HMR_9805,bio/H
bio/HMR_0815,bio/H
bio/HMR_0816,bio/H
bio/HMR_0817,bio/H
bio/HMR_0820,bio/H
bio/HMR_0822,bio/H
bio/HMR_0823,bio/H
bio/HMR_0824,bio/H
bio/HMR_0827,bio/H
bio/HMR_0829,bio/H
bio/HMR_0837,bio/H
bio/HMR_0839,bio/H
bio/HMR_0840,bio/H
bio/HMR_0841,bio/H
bio/HMR_0842,bio/H
bio/HMR_0843,bio/H
bio/HMR_0844,bio/H
bio/HMR_0846,bio/H
bio/HMR_0848,bio/H
bio/HMR_0849,bio/H
bio/HMR_0851,bio/H
bio/HMR_0852,bio/H
bio/HMR_0853,bio/H
bio/HMR_0854,bio/H
bio/HMR_0855,bio/H
bio/HMR_0856,bio/H
bio/HMR_0857,bio/H
bio/HMR_0858,bio/H
bio/HMR_0801,bio/H
bio/HMR_0805,bio/H
bio/HMR_0809,bio/H
bio/HMR_0810,bio/H
bio/HMR_0813,bio/H
bio/HMR_0814,bio/H
bio/HMR_0859,bio/H
bio/HMR_0860,bio/H
bio/HMR_0862,bio/H
bio/HMR_0863,bio/H
bio/HMR_0864,bio/H
bio/HMR_0865,bio/H
bio/HMR_0866,bio/H
bio/HMR_0867,bio/H
bio/HMR_0868,bio/H
bio/HMR_0870,bio/H
bio/HMR_0871,bio/H
bio/HMR_0875,bio/H
bio/HMR_0876,bio/H
bio/HMR_0877,bio/H
bio/HMR_0878,bio/H
bio/HMR_0879,bio/H
bio/HMR_0880,bio/H
bio/HMR_0881,bio/H
bio/HMR_0882,bio/H
bio/HMR_0883,bio/H
bio/HMR_0884,bio/H
bio/HMR_0885,bio/H
bio/HMR_0886,bio/H
bio/HMR_0887,bio/H
bio/HMR_0888,bio/H
bio/HMR_0889,bio/H
bio/HMR_0890,bio/H
bio/HMR_0891,bio/H
bio/HMR_0892,bio/H
bio/HMR_0893,bio/H
