reactionID,dcid
bio/HMR_4780,bio/C21H25N7O17P3
bio/HMR_4698,bio/C21H25N7O17P3
bio/HMR_4220,bio/C21H25N7O17P3
bio/HMR_6749,bio/C21H25N7O17P3
bio/HMR_6754,bio/C21H25N7O17P3
bio/HMR_6761,bio/C21H25N7O17P3
bio/HMR_6767,bio/C21H25N7O17P3
bio/HMR_6791,bio/C21H25N7O17P3
bio/HMR_6814,bio/C21H25N7O17P3
bio/HMR_6819,bio/C21H25N7O17P3
bio/HMR_6823,bio/C21H25N7O17P3
bio/HMR_6826,bio/C21H25N7O17P3
bio/HMR_6834,bio/C21H25N7O17P3
bio/HMR_6840,bio/C21H25N7O17P3
bio/HMR_6854,bio/C21H25N7O17P3
bio/HMR_4079,bio/C21H25N7O17P3
bio/HMR_4534,bio/C21H25N7O17P3
bio/HMR_0710,bio/C21H25N7O17P3
bio/HMR_2546,bio/C21H25N7O17P3
bio/HMR_0973,bio/C21H25N7O17P3
bio/HMR_0980,bio/C21H25N7O17P3
bio/HMR_0989,bio/C21H25N7O17P3
bio/HMR_1040,bio/C21H25N7O17P3
bio/HMR_1093,bio/C21H25N7O17P3
bio/HMR_1098,bio/C21H25N7O17P3
bio/HMR_1116,bio/C21H25N7O17P3
bio/HMR_1123,bio/C21H25N7O17P3
bio/HMR_1197,bio/C21H25N7O17P3
bio/HMR_1244,bio/C21H25N7O17P3
bio/HMR_1280,bio/C21H25N7O17P3
bio/HMR_1990,bio/C21H25N7O17P3
bio/HMR_1991,bio/C21H25N7O17P3
bio/HMR_2002,bio/C21H25N7O17P3
bio/HMR_2003,bio/C21H25N7O17P3
bio/HMR_1495,bio/C21H25N7O17P3
bio/HMR_1500,bio/C21H25N7O17P3
bio/HMR_1505,bio/C21H25N7O17P3
bio/HMR_1546,bio/C21H25N7O17P3
bio/HMR_1551,bio/C21H25N7O17P3
bio/HMR_8219,bio/C21H25N7O17P3
bio/HMR_7591,bio/C21H25N7O17P3
bio/HMR_1996,bio/C21H25N7O17P3
bio/HMR_1326,bio/C21H25N7O17P3
bio/HMR_1327,bio/C21H25N7O17P3
bio/HMR_1830,bio/C21H25N7O17P3
bio/HMR_4270,bio/C21H25N7O17P3
bio/HMR_7627,bio/C21H25N7O17P3
bio/HMR_4336,bio/C21H25N7O17P3
bio/HMR_6630,bio/C21H25N7O17P3
bio/HMR_8699,bio/C21H25N7O17P3
bio/HMR_7005,bio/C21H25N7O17P3
bio/HMR_9501,bio/C21H25N7O17P3
bio/HMR_9725,bio/C21H25N7O17P3
bio/RDH2a,bio/C21H25N7O17P3
bio/r0701,bio/C21H25N7O17P3
bio/RE1807C,bio/C21H25N7O17P3
bio/RE1827C,bio/C21H25N7O17P3
bio/RE1829C,bio/C21H25N7O17P3
bio/RE1830C,bio/C21H25N7O17P3
