id,name,compartment,chemicalFormula,bigg.metabolite,chebi,chembl,kegg.compound,metanetx.chemical,hmdb,pubchem.compound,lipidmaps,dcid
m00001c,"""(-)-trans-carveol""",dcs:CellularCompartmentEnumCytosol,C10H16O,carveol,"""CHEBI:15389""",CHEMBL1907992,C00964,MNXM45735,,,,bio/CHEMBL1907992
m00001s,"""(-)-trans-carveol""",dcs:CellularCompartmentEnumExtracellular,C10H16O,carveol,"""CHEBI:15389""",CHEMBL1907992,C00964,MNXM45735,,,,bio/CHEMBL1907992
m00002c,"""(+)-alpha-pinene""",dcs:CellularCompartmentEnumCytosol,C10H16,appnn,"""CHEBI:36740""",CHEMBL442565,C09880,MNXM163755,HMDB06525,6654,,bio/CHEMBL442565
m00002s,"""(+)-alpha-pinene""",dcs:CellularCompartmentEnumExtracellular,C10H16,appnn,"""CHEBI:36740""",CHEMBL442565,C09880,MNXM163755,HMDB06525,6654,,bio/CHEMBL442565
m00003c,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentEnumCytosol,C17H31O2,,,,,MNXM150165,,,LMFA01030283,bio/C17H31O2
m00003l,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentEnumLysosome,C17H31O2,,,,,MNXM150165,,,LMFA01030283,bio/C17H31O2
m00003r,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C17H31O2,,,,,MNXM150165,,,LMFA01030283,bio/C17H31O2
m00003s,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentEnumExtracellular,C17H31O2,,,,,MNXM150165,,,LMFA01030283,bio/C17H31O2
m00004c,"""(10Z)-heptadecenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C38H62N7O17P3S,,,,,MNXM148601,,,,bio/C38H62N7O17P3S
m00004m,"""(10Z)-heptadecenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C38H62N7O17P3S,,,,,MNXM148601,,,,bio/C38H62N7O17P3S
m00004r,"""(10Z)-heptadecenoyl-CoA""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C38H62N7O17P3S,,,,,MNXM148601,,,,bio/C38H62N7O17P3S
m00005c,"""(11R)-HPETE""",dcs:CellularCompartmentEnumCytosol,C20H31O4,,,,,MNXM9658,,,LMFA03060071,bio/C20H31O4
m00006c,"""(11Z)-docosenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C43H72N7O17P3S,,,,,,,,,bio/C43H72N7O17P3S
m00006m,"""(11Z)-docosenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C43H72N7O17P3S,,,,,,,,,bio/C43H72N7O17P3S
m00006r,"""(11Z)-docosenoyl-CoA""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C43H72N7O17P3S,,,,,,,,,bio/C43H72N7O17P3S
m00007c,"""(11Z)-eicosenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C41H68N7O17P3S,,,,,MNXM11852,,,LMFA07050056,bio/C41H68N7O17P3S
m00007m,"""(11Z)-eicosenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C41H68N7O17P3S,,,,,MNXM11852,,,LMFA07050056,bio/C41H68N7O17P3S
m00007p,"""(11Z)-eicosenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C41H68N7O17P3S,,,,,MNXM11852,,,LMFA07050056,bio/C41H68N7O17P3S
m00007r,"""(11Z)-eicosenoyl-CoA""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C41H68N7O17P3S,,,,,MNXM11852,,,LMFA07050056,bio/C41H68N7O17P3S
m00008c,"""(11Z,14Z)-eicosadienoic acid""",dcs:CellularCompartmentEnumCytosol,C20H35O2,,,,C16525,MNXM11473,,,LMFA01030130,bio/C20H35O2
m00008l,"""(11Z,14Z)-eicosadienoic acid""",dcs:CellularCompartmentEnumLysosome,C20H35O2,,,,C16525,MNXM11473,,,LMFA01030130,bio/C20H35O2
m00008r,"""(11Z,14Z)-eicosadienoic acid""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C20H35O2,,,,C16525,MNXM11473,,,LMFA01030130,bio/C20H35O2
m00008s,"""(11Z,14Z)-eicosadienoic acid""",dcs:CellularCompartmentEnumExtracellular,C20H35O2,,,,C16525,MNXM11473,,,LMFA01030130,bio/C20H35O2
m00009c,"""(11Z,14Z)-eicosadienoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C41H66N7O17P3S,,,,C16180,MNXM167435,,,LMFA07050036,bio/C41H66N7O17P3S
m00009m,"""(11Z,14Z)-eicosadienoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C41H66N7O17P3S,,,,C16180,MNXM167435,,,LMFA07050036,bio/C41H66N7O17P3S
m00009r,"""(11Z,14Z)-eicosadienoyl-CoA""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C41H66N7O17P3S,,,,C16180,MNXM167435,,,LMFA07050036,bio/C41H66N7O17P3S
m00010c,"""(11Z,14Z,17Z)-eicosatrienoic acid""",dcs:CellularCompartmentEnumCytosol,C20H33O2,,"""CHEBI:53460""",CHEMBL453991,C16522,MNXM8271,,,LMFA01030378,bio/CHEMBL453991
m00010l,"""(11Z,14Z,17Z)-eicosatrienoic acid""",dcs:CellularCompartmentEnumLysosome,C20H33O2,,"""CHEBI:53460""",CHEMBL453991,C16522,MNXM8271,,,LMFA01030378,bio/CHEMBL453991
m00010r,"""(11Z,14Z,17Z)-eicosatrienoic acid""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C20H33O2,,"""CHEBI:53460""",CHEMBL453991,C16522,MNXM8271,,,LMFA01030378,bio/CHEMBL453991
m00010s,"""(11Z,14Z,17Z)-eicosatrienoic acid""",dcs:CellularCompartmentEnumExtracellular,C20H33O2,,"""CHEBI:53460""",CHEMBL453991,C16522,MNXM8271,,,LMFA01030378,bio/CHEMBL453991
m00011c,"""(11Z,14Z,17Z)-eicosatrienoylcarnitine""",dcs:CellularCompartmentEnumCytosol,C27H47NO4,,,,,,,,,bio/C27H47NO4
m00011m,"""(11Z,14Z,17Z)-eicosatrienoylcarnitine""",dcs:CellularCompartmentEnumMitochondria,C27H47NO4,,,,,,,,,bio/C27H47NO4
m00011r,"""(11Z,14Z,17Z)-eicosatrienoylcarnitine""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C27H47NO4,,,,,,,,,bio/C27H47NO4
m00012c,"""(11Z,14Z,17Z)-eicosatrienoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C41H64N7O17P3S,,,,C16179,MNXM162872,,,LMFA07050044,bio/C41H64N7O17P3S
m00012m,"""(11Z,14Z,17Z)-eicosatrienoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C41H64N7O17P3S,,,,C16179,MNXM162872,,,LMFA07050044,bio/C41H64N7O17P3S
m00012r,"""(11Z,14Z,17Z)-eicosatrienoyl-CoA""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C41H64N7O17P3S,,,,C16179,MNXM162872,,,LMFA07050044,bio/C41H64N7O17P3S
m00013c,"""(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate""",dcs:CellularCompartmentEnumCytosol,C20H31O5,prostg1,"""CHEBI:15548""",,C04654,MNXM168925,HMDB01320,5280710,,bio/C20H31O5
m00014p,"""(13E)-tetranor-16-carboxy-LTE4""",dcs:CellularCompartmentEnumPeroxisome,C19H25NO7S,,,,,MNXM150224,,53481472,,bio/C19H25NO7S
m00015p,"""(13E)-tetranor-16-oxo-16-CoA-LTE4""",dcs:CellularCompartmentEnumPeroxisome,C40H56N8O22P3S2,,,,,MNXM33354,,53481473,,bio/C40H56N8O22P3S2
m00016c,"""(13Z)-docosenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C43H72N7O17P3S,,,,C16531,MNXM11430,,,LMFA07050057,bio/C43H72N7O17P3S
m00016m,"""(13Z)-docosenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C43H72N7O17P3S,,,,C16531,MNXM11430,,,LMFA07050057,bio/C43H72N7O17P3S
m00016p,"""(13Z)-docosenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C43H72N7O17P3S,,,,C16531,MNXM11430,,,LMFA07050057,bio/C43H72N7O17P3S
m00016r,"""(13Z)-docosenoyl-CoA""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C43H72N7O17P3S,,,,C16531,MNXM11430,,,LMFA07050057,bio/C43H72N7O17P3S
m00017c,"""(13Z)-eicosenoic acid""",dcs:CellularCompartmentEnumCytosol,C20H37O2,,,,,MNXM24465,,,LMFA01030367,bio/C20H37O2
m00017l,"""(13Z)-eicosenoic acid""",dcs:CellularCompartmentEnumLysosome,C20H37O2,,,,,MNXM24465,,,LMFA01030367,bio/C20H37O2
m00017r,"""(13Z)-eicosenoic acid""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C20H37O2,,,,,MNXM24465,,,LMFA01030367,bio/C20H37O2
m00017s,"""(13Z)-eicosenoic acid""",dcs:CellularCompartmentEnumExtracellular,C20H37O2,,,,,MNXM24465,,,LMFA01030367,bio/C20H37O2
m00018c,"""(13Z)-eicosenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C41H68N7O17P3S,,,,,MNXM146661,,,,bio/C41H68N7O17P3S
m00018m,"""(13Z)-eicosenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C41H68N7O17P3S,,,,,MNXM146661,,,,bio/C41H68N7O17P3S
m00018p,"""(13Z)-eicosenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C41H68N7O17P3S,,,,,MNXM146661,,,,bio/C41H68N7O17P3S
m00018r,"""(13Z)-eicosenoyl-CoA""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C41H68N7O17P3S,,,,,MNXM146661,,,,bio/C41H68N7O17P3S
m00019c,"""(13Z)-octadecenoic acid""",dcs:CellularCompartmentEnumCytosol,C18H33O2,,,,,MNXM29438,,,LMFA01030290,bio/C18H33O2
m00019l,"""(13Z)-octadecenoic acid""",dcs:CellularCompartmentEnumLysosome,C18H33O2,,,,,MNXM29438,,,LMFA01030290,bio/C18H33O2
m00019r,"""(13Z)-octadecenoic acid""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C18H33O2,,,,,MNXM29438,,,LMFA01030290,bio/C18H33O2
m00019s,"""(13Z)-octadecenoic acid""",dcs:CellularCompartmentEnumExtracellular,C18H33O2,,,,,MNXM29438,,,LMFA01030290,bio/C18H33O2
m00020c,"""(13Z)-octadecenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C39H64N7O17P3S,,,,,,,,,bio/C39H64N7O17P3S
m00020m,"""(13Z)-octadecenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C39H64N7O17P3S,,,,,,,,,bio/C39H64N7O17P3S
m00020r,"""(13Z)-octadecenoyl-CoA""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C39H64N7O17P3S,,,,,,,,,bio/C39H64N7O17P3S
m00021c,"""(13Z,16Z)-docosadienoic acid""",dcs:CellularCompartmentEnumCytosol,C22H39O2,,,,C16533,MNXM9691,,,LMFA01030405,bio/C22H39O2
m00021l,"""(13Z,16Z)-docosadienoic acid""",dcs:CellularCompartmentEnumLysosome,C22H39O2,,,,C16533,MNXM9691,,,LMFA01030405,bio/C22H39O2
m00021r,"""(13Z,16Z)-docosadienoic acid""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C22H39O2,,,,C16533,MNXM9691,,,LMFA01030405,bio/C22H39O2
m00021s,"""(13Z,16Z)-docosadienoic acid""",dcs:CellularCompartmentEnumExtracellular,C22H39O2,,,,C16533,MNXM9691,,,LMFA01030405,bio/C22H39O2
m00022c,"""(13Z,16Z)-docosadienoylcarnitine""",dcs:CellularCompartmentEnumCytosol,C29H52NO4,,,,,MNXM149276,,,,bio/C29H52NO4
m00022m,"""(13Z,16Z)-docosadienoylcarnitine""",dcs:CellularCompartmentEnumMitochondria,C29H52NO4,,,,,MNXM149276,,,,bio/C29H52NO4
m00022r,"""(13Z,16Z)-docosadienoylcarnitine""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C29H52NO4,,,,,MNXM149276,,,,bio/C29H52NO4
m00023c,"""(13Z,16Z)-docosadienoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C43H70N7O17P3S,,,,C16645,MNXM9382,,,LMFA07050037,bio/C43H70N7O17P3S
m00023m,"""(13Z,16Z)-docosadienoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C43H70N7O17P3S,,,,C16645,MNXM9382,,,LMFA07050037,bio/C43H70N7O17P3S
m00023r,"""(13Z,16Z)-docosadienoyl-CoA""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C43H70N7O17P3S,,,,C16645,MNXM9382,,,LMFA07050037,bio/C43H70N7O17P3S
m00024c,"""(15Z)-tetracosenoylcarnitine""",dcs:CellularCompartmentEnumCytosol,C31H59NO4,nrvnccrn,,,,MNXM8942,,,,bio/C31H59NO4
m00024r,"""(15Z)-tetracosenoylcarnitine""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C31H59NO4,nrvnccrn,,,,MNXM8942,,,,bio/C31H59NO4
m00025c,"""(15Z)-tetracosenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C45H76N7O17P3S,nrvnccoa,,,C16532,MNXM13000,,24892792,LMFA07050058,bio/C45H76N7O17P3S
m00025p,"""(15Z)-tetracosenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C45H76N7O17P3S,nrvnccoa,,,C16532,MNXM13000,,24892792,LMFA07050058,bio/C45H76N7O17P3S
m00025r,"""(15Z)-tetracosenoyl-CoA""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C45H76N7O17P3S,nrvnccoa,,,C16532,MNXM13000,,24892792,LMFA07050058,bio/C45H76N7O17P3S
m00026m,"""(18E)-20-oxo-20-CoA-LTB4""",dcs:CellularCompartmentEnumMitochondria,C41H57N7O21P3S,,,,,MNXM33779,,,,bio/C41H57N7O21P3S
m00026p,"""(18E)-20-oxo-20-CoA-LTB4""",dcs:CellularCompartmentEnumPeroxisome,C41H57N7O21P3S,,,,,MNXM33779,,,,bio/C41H57N7O21P3S
m00027p,"""(18E)-20-oxo-20-CoA-LTE4""",dcs:CellularCompartmentEnumPeroxisome,C44H62N8O22P3S2,,,,,MNXM33780,,53481494,,bio/C44H62N8O22P3S2
m00028c,"""(18R)-HEPE""",dcs:CellularCompartmentEnumCytosol,C20H29O3,,"""CHEBI:81563""",,,MNXM33782,,16061126,,bio/C20H29O3
m00029c,"""(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid""",dcs:CellularCompartmentEnumCytosol,C20H29O3,,"""CHEBI:81563""",,,MNXM33782,,16061126,LMFA03070025,bio/C20H29O3
m00030c,"""(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol""",dcs:CellularCompartmentEnumCytosol,C20H18O3,,,,C19559,MNXM13488,,,,bio/C20H18O3
m00031c,"""(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene""",dcs:CellularCompartmentEnumCytosol,C20H23N3O7S,,,,C14791,MNXM6499,,,,bio/C20H23N3O7S
m00032c,"""(1R,2S)-naphthalene 1,2-oxide""",dcs:CellularCompartmentEnumCytosol,C10H8O,onpthl,"""CHEBI:33998""",,C14786,MNXM12425,,108063,,bio/C10H8O
m00032s,"""(1R,2S)-naphthalene 1,2-oxide""",dcs:CellularCompartmentEnumExtracellular,C10H8O,onpthl,"""CHEBI:33998""",,C14786,MNXM12425,,108063,,bio/C10H8O
m00033c,"""(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene""",dcs:CellularCompartmentEnumCytosol,C20H23N3O7S,,,,C14792,MNXM6503,,,,bio/C20H23N3O7S
m00034c,"""(1S,2R)-naphthalene 1,2-oxide""",dcs:CellularCompartmentEnumCytosol,C10H8O,,,,C14787,MNXM2885,,,,bio/C10H8O
m00035c,"""(24R)-24,25-dihydroxycalciol""",dcs:CellularCompartmentEnumCytosol,C27H44O3,2425dhvitd3,"""CHEBI:28818""",CHEMBL1590076,C07712,MNXM6763,,,LMST03020273,bio/CHEMBL1590076
m00035m,"""(24R)-24,25-dihydroxycalciol""",dcs:CellularCompartmentEnumMitochondria,C27H44O3,2425dhvitd3,"""CHEBI:28818""",CHEMBL1590076,C07712,MNXM6763,,,LMST03020273,bio/CHEMBL1590076
m00035s,"""(24R)-24,25-dihydroxycalciol""",dcs:CellularCompartmentEnumExtracellular,C27H44O3,2425dhvitd3,"""CHEBI:28818""",CHEMBL1590076,C07712,MNXM6763,,,LMST03020273,bio/CHEMBL1590076
m00036m,"""(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C48H76N7O21P3S,,"""CHEBI:52050""",,C05450,MNXM732,,46224537,,bio/C48H76N7O21P3S
m00036p,"""(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C48H76N7O21P3S,,"""CHEBI:52050""",,C05450,MNXM732,,46224537,,bio/C48H76N7O21P3S
m00037p,"""(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C48H76N7O20P3S,thcholoylcoa,"""CHEBI:27403""",,C05448,MNXM165175,,46224536,,bio/C48H76N7O20P3S
m00038c,"""(2E)-decenoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C21H37N2O8PRS,,,,C05754,MNXM28221,,,,bio/C21H37N2O8PRS
m00039m,"""(2E)-decenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C31H48N7O17P3S,dc2coa,"""CHEBI:10723""",,C05275,MNXM580,,24883423,LMFA07050023,bio/C31H48N7O17P3S
m00039p,"""(2E)-decenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C31H48N7O17P3S,dc2coa,"""CHEBI:10723""",,C05275,MNXM580,,24883423,LMFA07050023,bio/C31H48N7O17P3S
m00040c,"""(2E)-docosenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C43H72N7O17P3S,,,,,MNXM97615,,,,bio/C43H72N7O17P3S
m00040m,"""(2E)-docosenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C43H72N7O17P3S,,,,,MNXM97615,,,,bio/C43H72N7O17P3S
m00040p,"""(2E)-docosenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C43H72N7O17P3S,,,,,MNXM97615,,,,bio/C43H72N7O17P3S
m00041c,"""(2E)-dodecenoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C23H41N2O8PRS,,,,C05758,MNXM23842,,,,bio/C23H41N2O8PRS
m00042m,"""(2E)-dodecenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C33H52N7O17P3S,dd2coa,"""CHEBI:15471""",,C03221,MNXM642,,45266564,LMFA07050010,bio/C33H52N7O17P3S
m00042p,"""(2E)-dodecenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C33H52N7O17P3S,dd2coa,"""CHEBI:15471""",,C03221,MNXM642,,45266564,LMFA07050010,bio/C33H52N7O17P3S
m00043c,"""(2E)-eicosenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C41H68N7O17P3S,,,,,MNXM163905,,,,bio/C41H68N7O17P3S
m00043m,"""(2E)-eicosenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C41H68N7O17P3S,,,,,MNXM163905,,,,bio/C41H68N7O17P3S
m00043p,"""(2E)-eicosenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C41H68N7O17P3S,,,,,MNXM163905,,,,bio/C41H68N7O17P3S
m00044c,"""(2E)-heneicosenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C42H70N7O17P3S,,,,,,,,,bio/C42H70N7O17P3S
m00044m,"""(2E)-heneicosenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C42H70N7O17P3S,,,,,,,,,bio/C42H70N7O17P3S
m00045c,"""(2E)-heptadecenoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C28H51N2O8PRS,,,,,,,,,bio/C28H51N2O8PRS
m00046m,"""(2E)-heptadecenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C38H62N7O17P3S,,,,,MNXM170113,,,,bio/C38H62N7O17P3S
m00047c,"""(2E)-heptenoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C18H31N2O8PRS,,,,,,,,,bio/C18H31N2O8PRS
m00048m,"""(2E)-heptenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C28H42N7O17P3S,,,,,,,,,bio/C28H42N7O17P3S
m00049c,"""(2E)-hexacosenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C47H80N7O17P3S,,,,,MNXM114303,,,,bio/C47H80N7O17P3S
m00049p,"""(2E)-hexacosenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C47H80N7O17P3S,,,,,MNXM114303,,,,bio/C47H80N7O17P3S
m00050c,"""(2E)-hexadecenoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C27H49N2O8PRS,,,,C05763,MNXM29072,,,,bio/C27H49N2O8PRS
m00051m,"""(2E)-hexadecenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C37H60N7O17P3S,hdd2coa,"""CHEBI:28935""",,C05272,MNXM581,HMDB06533,46173176,LMFA07050020,bio/C37H60N7O17P3S
m00051p,"""(2E)-hexadecenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C37H60N7O17P3S,hdd2coa,"""CHEBI:28935""",,C05272,MNXM581,HMDB06533,46173176,LMFA07050020,bio/C37H60N7O17P3S
m00052c,"""(2E)-hexenoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C17H29N2O8PRS,,,,C05748,MNXM24502,,,,bio/C17H29N2O8PRS
m00053m,"""(2E)-hexenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C27H40N7O17P3S,,"""CHEBI:28706""",,C05271,MNXM753,,5280765,LMFA07050019,bio/C27H40N7O17P3S
m00053p,"""(2E)-hexenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C27H40N7O17P3S,,"""CHEBI:28706""",,C05271,MNXM753,,5280765,LMFA07050019,bio/C27H40N7O17P3S
m00054c,"""(2E)-nonadecenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C40H66N7O17P3S,,,,,,,,,bio/C40H66N7O17P3S
m00054m,"""(2E)-nonadecenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C40H66N7O17P3S,,,,,,,,,bio/C40H66N7O17P3S
m00055c,"""(2E)-nonenoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C20H35N2O8PRS,,,,,,,,,bio/C20H35N2O8PRS
m00056m,"""(2E)-nonenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C30H46N7O17P3S,,,,,MNXM170116,,,,bio/C30H46N7O17P3S
m00057c,"""(2E)-octadecenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C39H64N7O17P3S,od2coa,"""CHEBI:50570""",,C16218,MNXM954,HMDB06529,53477850,LMFA07050055,bio/C39H64N7O17P3S
m00057m,"""(2E)-octadecenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C39H64N7O17P3S,od2coa,"""CHEBI:50570""",,C16218,MNXM954,HMDB06529,53477850,LMFA07050055,bio/C39H64N7O17P3S
m00057p,"""(2E)-octadecenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C39H64N7O17P3S,od2coa,"""CHEBI:50570""",,C16218,MNXM954,HMDB06529,53477850,LMFA07050055,bio/C39H64N7O17P3S
m00058c,"""(2E)-octenoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C19H33N2O8PRS,,,,C05751,MNXM23766,,,,bio/C19H33N2O8PRS
m00059m,"""(2E)-octenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C29H44N7O17P3S,,"""CHEBI:27537""",,C05276,MNXM784,,46173358,LMFA07050024,bio/C29H44N7O17P3S
m00059p,"""(2E)-octenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C29H44N7O17P3S,,"""CHEBI:27537""",,C05276,MNXM784,,46173358,LMFA07050024,bio/C29H44N7O17P3S
m00060c,"""(2E)-pentadecenoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C26H47N2O8PRS,,,,,,,,,bio/C26H47N2O8PRS
m00061m,"""(2E)-pentadecenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C36H58N7O17P3S,,,,,MNXM146674,,,,bio/C36H58N7O17P3S
m00062c,"""(2E)-pentenoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C16H27N2O8PRS,,,,,,,,,bio/C16H27N2O8PRS
m00063m,"""(2E)-pentenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C26H38N7O17P3S,,,,,MNXM20340,,,,bio/C26H38N7O17P3S
m00064c,"""(2E)-tetracosenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C45H76N7O17P3S,,,,,MNXM165192,,,,bio/C45H76N7O17P3S
m00064p,"""(2E)-tetracosenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C45H76N7O17P3S,,,,,MNXM165192,,,,bio/C45H76N7O17P3S
m00065c,"""(2E)-tetradecenoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C25H45N2O8PRS,,,,C05760,MNXM24297,,,,bio/C25H45N2O8PRS
m00066m,"""(2E)-tetradecenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C35H56N7O17P3S,,"""CHEBI:27721""",,C05273,MNXM654,,,LMFA07050021,bio/C35H56N7O17P3S
m00066p,"""(2E)-tetradecenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C35H56N7O17P3S,,"""CHEBI:27721""",,C05273,MNXM654,,,LMFA07050021,bio/C35H56N7O17P3S
m00067c,"""(2E)-tricosenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C44H74N7O17P3S,,,,,MNXM163027,,,,bio/C44H74N7O17P3S
m00068c,"""(2E)-tridecenoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C24H43N2O8PRS,,,,,,,,,bio/C24H43N2O8PRS
m00069m,"""(2E)-tridecenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C34H54N7O17P3S,,,,,,,,,bio/C34H54N7O17P3S
m00070c,"""(2E)-undecenoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C22H39N2O8PRS,,,,,,,,,bio/C22H39N2O8PRS
m00071m,"""(2E)-undecenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C32H50N7O17P3S,,,,,MNXM170117,,,,bio/C32H50N7O17P3S
m00072m,"""(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C37H54N7O17P3S,,,,,,,,,bio/C37H54N7O17P3S
m00072p,"""(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C37H54N7O17P3S,,,,,,,,,bio/C37H54N7O17P3S
m00073m,"""(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C39H58N7O17P3S,,,,,,,,,bio/C39H58N7O17P3S
m00073p,"""(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C39H58N7O17P3S,,,,,,,,,bio/C39H58N7O17P3S
