id,name,compartment,chemicalFormula,bigg.metabolite,chebi,chembl,kegg.compound,metanetx.chemical,hmdb,pubchem.compound,lipidmaps,dcid
m00748p,"""3alpha,7alpha,12alpha-trihydroxy-5beta-24-oxocholestanoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C48H74N7O21P3S,cholcoaone,"""CHEBI:27379""",,C05467,MNXM162946,HMDB06891,440690,LMST01010216,bio/C48H74N7O21P3S
m00749m,"""3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C48H74N7O20P3S,cholcoads,"""CHEBI:27505""",,C05460,MNXM162945,HMDB06889,5280797,LMST01010217,bio/C48H74N7O20P3S
m00749p,"""3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C48H74N7O20P3S,cholcoads,"""CHEBI:27505""",,C05460,MNXM162945,HMDB06889,5280797,LMST01010217,bio/C48H74N7O20P3S
m00750c,"""3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al""",dcs:CellularCompartmentEnumCytosol,C27H46O4,thcholst,"""CHEBI:48940""",,C01301,MNXM162326,,439479,LMST04030164,bio/C27H46O4
m00750m,"""3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al""",dcs:CellularCompartmentEnumMitochondria,C27H46O4,thcholst,"""CHEBI:48940""",,C01301,MNXM162326,,439479,LMST04030164,bio/C27H46O4
m00751m,"""3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al""",dcs:CellularCompartmentEnumMitochondria,C27H46O4,,"""CHEBI:48940""",,C01301,MNXM867,,,,bio/C27H46O4
m00752c,"""3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate""",dcs:CellularCompartmentEnumCytosol,C27H45O5,thcholstoic,"""CHEBI:48043""",,C04722,MNXM162717,HMDB03873,23657849,LMST04030001,bio/C27H45O5
m00752m,"""3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate""",dcs:CellularCompartmentEnumMitochondria,C27H45O5,thcholstoic,"""CHEBI:48043""",,C04722,MNXM162717,HMDB03873,23657849,LMST04030001,bio/C27H45O5
m00752p,"""3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate""",dcs:CellularCompartmentEnumPeroxisome,C27H45O5,thcholstoic,"""CHEBI:48043""",,C04722,MNXM162717,HMDB03873,23657849,LMST04030001,bio/C27H45O5
m00752r,"""3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C27H45O5,thcholstoic,"""CHEBI:48043""",,C04722,MNXM162717,HMDB03873,23657849,LMST04030001,bio/C27H45O5
m00753m,"""3alpha,7alpha,24(S)-trihydroxy-5beta-cholestan-27-al""",dcs:CellularCompartmentEnumMitochondria,C27H46O4,,,,,MNXM30749,,,LMST04030154,bio/C27H46O4
m00754p,"""3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl coa""",dcs:CellularCompartmentEnumPeroxisome,C48H74N7O20P3S,,"""CHEBI:28533""",,C05449,MNXM25345,HMDB06896,440676,LMST01010219,bio/C48H74N7O20P3S
