id,compartment,metabolite_dcid
m00037p,dcs:CellularCompartmentPeroxisome,bio/MNXM165175
m00038c,dcs:CellularCompartmentCytosol,bio/MNXM28221
m00039m,dcs:CellularCompartmentMitochondria,bio/MNXM580
m00039p,dcs:CellularCompartmentPeroxisome,bio/MNXM580
m00040c,dcs:CellularCompartmentCytosol,bio/MNXM97615
m00040m,dcs:CellularCompartmentMitochondria,bio/MNXM97615
m00040p,dcs:CellularCompartmentPeroxisome,bio/MNXM97615
m00041c,dcs:CellularCompartmentCytosol,bio/MNXM23842
m00042m,dcs:CellularCompartmentMitochondria,bio/MNXM642
m00042p,dcs:CellularCompartmentPeroxisome,bio/MNXM642
m00043c,dcs:CellularCompartmentCytosol,bio/MNXM163905
m00043m,dcs:CellularCompartmentMitochondria,bio/MNXM163905
m00043p,dcs:CellularCompartmentPeroxisome,bio/MNXM163905
m00044c,dcs:CellularCompartmentCytosol,bio/(2E)-heneicosenoyl-CoA
m00044m,dcs:CellularCompartmentMitochondria,bio/(2E)-heneicosenoyl-CoA
m00045c,dcs:CellularCompartmentCytosol,bio/(2E)-heptadecenoyl-[ACP]
m00046m,dcs:CellularCompartmentMitochondria,bio/MNXM170113
m00047c,dcs:CellularCompartmentCytosol,bio/(2E)-heptenoyl-[ACP]
m00048m,dcs:CellularCompartmentMitochondria,bio/(2E)-heptenoyl-CoA
m00049c,dcs:CellularCompartmentCytosol,bio/MNXM114303
m00049p,dcs:CellularCompartmentPeroxisome,bio/MNXM114303
m00050c,dcs:CellularCompartmentCytosol,bio/MNXM29072
m00051m,dcs:CellularCompartmentMitochondria,bio/MNXM581
m00051p,dcs:CellularCompartmentPeroxisome,bio/MNXM581
m00052c,dcs:CellularCompartmentCytosol,bio/MNXM24502
m00053m,dcs:CellularCompartmentMitochondria,bio/MNXM753
m00053p,dcs:CellularCompartmentPeroxisome,bio/MNXM753
m00054c,dcs:CellularCompartmentCytosol,bio/(2E)-nonadecenoyl-CoA
m00054m,dcs:CellularCompartmentMitochondria,bio/(2E)-nonadecenoyl-CoA
m00055c,dcs:CellularCompartmentCytosol,bio/(2E)-nonenoyl-[ACP]
m00056m,dcs:CellularCompartmentMitochondria,bio/MNXM170116
m00057c,dcs:CellularCompartmentCytosol,bio/MNXM954
m00057m,dcs:CellularCompartmentMitochondria,bio/MNXM954
m00057p,dcs:CellularCompartmentPeroxisome,bio/MNXM954
m00058c,dcs:CellularCompartmentCytosol,bio/MNXM23766
m00059m,dcs:CellularCompartmentMitochondria,bio/MNXM784
m00059p,dcs:CellularCompartmentPeroxisome,bio/MNXM784
m00060c,dcs:CellularCompartmentCytosol,bio/(2E)-pentadecenoyl-[ACP]
m00061m,dcs:CellularCompartmentMitochondria,bio/MNXM146674
m00062c,dcs:CellularCompartmentCytosol,bio/(2E)-pentenoyl-[ACP]
m00063m,dcs:CellularCompartmentMitochondria,bio/MNXM20340
m00064c,dcs:CellularCompartmentCytosol,bio/MNXM165192
m00064p,dcs:CellularCompartmentPeroxisome,bio/MNXM165192
m00065c,dcs:CellularCompartmentCytosol,bio/MNXM24297
m00066m,dcs:CellularCompartmentMitochondria,bio/MNXM654
m00066p,dcs:CellularCompartmentPeroxisome,bio/MNXM654
m00067c,dcs:CellularCompartmentCytosol,bio/MNXM163027
m00068c,dcs:CellularCompartmentCytosol,bio/(2E)-tridecenoyl-[ACP]
m00069m,dcs:CellularCompartmentMitochondria,bio/(2E)-tridecenoyl-CoA
m00070c,dcs:CellularCompartmentCytosol,bio/(2E)-undecenoyl-[ACP]
m00071m,dcs:CellularCompartmentMitochondria,bio/MNXM170117
m00072m,dcs:CellularCompartmentMitochondria,bio/(2E_4Z_7Z_10Z)-hexadecatetraenoyl-CoA
