id,compartment,metabolite_dcid
m01628m,dcs:CellularCompartmentMitochondria,bio/CHEMBL863
m01628s,dcs:CellularCompartmentExtracellular,bio/CHEMBL863
m01629c,dcs:CellularCompartmentCytosol,bio/CHEMBL590540
m01629s,dcs:CellularCompartmentExtracellular,bio/CHEMBL590540
m01630c,dcs:CellularCompartmentCytosol,bio/CHEMBL95606
m01630l,dcs:CellularCompartmentLysosome,bio/CHEMBL95606
m01630m,dcs:CellularCompartmentMitochondria,bio/CHEMBL95606
m01630n,dcs:CellularCompartmentNucleus,bio/CHEMBL95606
m01630s,dcs:CellularCompartmentExtracellular,bio/CHEMBL95606
m01631m,dcs:CellularCompartmentMitochondria,bio/MNXM5749
m01632c,dcs:CellularCompartmentCytosol,bio/CHEMBL15913
m01632s,dcs:CellularCompartmentExtracellular,bio/CHEMBL15913
m01633c,dcs:CellularCompartmentCytosol,bio/MNXM162802
m01633m,dcs:CellularCompartmentMitochondria,bio/MNXM162802
m01633s,dcs:CellularCompartmentExtracellular,bio/MNXM162802
m01634c,dcs:CellularCompartmentCytosol,bio/MNXM27066
m01635c,dcs:CellularCompartmentCytosol,bio/MNXM25370
m01636c,dcs:CellularCompartmentCytosol,bio/MNXM415
m01637c,dcs:CellularCompartmentCytosol,bio/MNXM374
m01637m,dcs:CellularCompartmentMitochondria,bio/MNXM374
m01637n,dcs:CellularCompartmentNucleus,bio/MNXM374
m01638c,dcs:CellularCompartmentCytosol,bio/CHEMBL66693
m01638l,dcs:CellularCompartmentLysosome,bio/CHEMBL66693
m01638p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL66693
m01638s,dcs:CellularCompartmentExtracellular,bio/CHEMBL66693
m01639c,dcs:CellularCompartmentCytosol,bio/CHEMBL1206239
m01639l,dcs:CellularCompartmentLysosome,bio/CHEMBL1206239
m01640c,dcs:CellularCompartmentCytosol,bio/CHEMBL212301
m01640p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL212301
m01640s,dcs:CellularCompartmentExtracellular,bio/CHEMBL212301
m01641c,dcs:CellularCompartmentCytosol,bio/CHEMBL29757
m01641p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL29757
m01641s,dcs:CellularCompartmentExtracellular,bio/CHEMBL29757
m01642c,dcs:CellularCompartmentCytosol,bio/CHEMBL335538
m01642m,dcs:CellularCompartmentMitochondria,bio/CHEMBL335538
m01642n,dcs:CellularCompartmentNucleus,bio/CHEMBL335538
m01643c,dcs:CellularCompartmentCytosol,bio/MNXM411
m01643m,dcs:CellularCompartmentMitochondria,bio/MNXM411
m01643n,dcs:CellularCompartmentNucleus,bio/MNXM411
m01644c,dcs:CellularCompartmentCytosol,bio/CHEMBL374699
m01644l,dcs:CellularCompartmentLysosome,bio/CHEMBL374699
m01644m,dcs:CellularCompartmentMitochondria,bio/CHEMBL374699
m01644n,dcs:CellularCompartmentNucleus,bio/CHEMBL374699
m01645c,dcs:CellularCompartmentCytosol,bio/CHEMBL560403
m01645m,dcs:CellularCompartmentMitochondria,bio/CHEMBL560403
m01645n,dcs:CellularCompartmentNucleus,bio/CHEMBL560403
m01646c,dcs:CellularCompartmentCytosol,bio/MNXM309
m01646n,dcs:CellularCompartmentNucleus,bio/MNXM309
m01647c,dcs:CellularCompartmentCytosol,bio/CHEMBL169901
m01647s,dcs:CellularCompartmentExtracellular,bio/CHEMBL169901
m01648c,dcs:CellularCompartmentCytosol,bio/CHEMBL107498
m01648s,dcs:CellularCompartmentExtracellular,bio/CHEMBL107498
m01649c,dcs:CellularCompartmentCytosol,bio/MNXM1473
m01650c,dcs:CellularCompartmentCytosol,bio/MNXM162283
m01650m,dcs:CellularCompartmentMitochondria,bio/MNXM162283
m01650p,dcs:CellularCompartmentPeroxisome,bio/MNXM162283
m01651l,dcs:CellularCompartmentLysosome,bio/MNXM8517
m01652l,dcs:CellularCompartmentLysosome,bio/MNXM7256
m01652s,dcs:CellularCompartmentExtracellular,bio/MNXM7256
m01653l,dcs:CellularCompartmentLysosome,bio/MNXM7257
m01654c,dcs:CellularCompartmentCytosol,bio/MNXM3414
m01655c,dcs:CellularCompartmentCytosol,bio/CHEMBL174035
m01655s,dcs:CellularCompartmentExtracellular,bio/CHEMBL174035
m01656c,dcs:CellularCompartmentCytosol,bio/MNXM148199
m01657c,dcs:CellularCompartmentCytosol,bio/MNXM148197
m01658c,dcs:CellularCompartmentCytosol,bio/MNXM148198
m01659c,dcs:CellularCompartmentCytosol,bio/CHEMBL259898
m01659r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL259898
m01659s,dcs:CellularCompartmentExtracellular,bio/CHEMBL259898
m01660c,dcs:CellularCompartmentCytosol,bio/MNXM375
m01660r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM375
m01661c,dcs:CellularCompartmentCytosol,bio/MNXM4697
m01662c,dcs:CellularCompartmentCytosol,bio/MNXM6638
m01662r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM6638
m01663p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL308149
m01664p,dcs:CellularCompartmentPeroxisome,bio/MNXM683718
m01665r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM17161
m01665c,dcs:CellularCompartmentCytosol,bio/MNXM17161
m01665s,dcs:CellularCompartmentExtracellular,bio/MNXM17161
m01666c,dcs:CellularCompartmentCytosol,bio/CHEMBL449329
m01666l,dcs:CellularCompartmentLysosome,bio/CHEMBL449329
m01666s,dcs:CellularCompartmentExtracellular,bio/CHEMBL449329
m01667c,dcs:CellularCompartmentCytosol,bio/MNXM3972
m01667p,dcs:CellularCompartmentPeroxisome,bio/MNXM3972
m01667r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM3972
m01668c,dcs:CellularCompartmentCytosol,bio/CHEMBL66115
m01668l,dcs:CellularCompartmentLysosome,bio/CHEMBL66115
m01668m,dcs:CellularCompartmentMitochondria,bio/CHEMBL66115
m01668n,dcs:CellularCompartmentNucleus,bio/CHEMBL66115
m01668s,dcs:CellularCompartmentExtracellular,bio/CHEMBL66115
m01669c,dcs:CellularCompartmentCytosol,bio/CHEMBL68908
m01669l,dcs:CellularCompartmentLysosome,bio/CHEMBL68908
m01669m,dcs:CellularCompartmentMitochondria,bio/CHEMBL68908
m01669s,dcs:CellularCompartmentExtracellular,bio/CHEMBL68908
m01670c,dcs:CellularCompartmentCytosol,bio/MNXM49098
m01671c,dcs:CellularCompartmentCytosol,bio/CHEMBL1229971
m01671s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1229971
m01672c,dcs:CellularCompartmentCytosol,bio/MNXM2474
m01672s,dcs:CellularCompartmentExtracellular,bio/MNXM2474
m01673c,dcs:CellularCompartmentCytosol,bio/CHEMBL353955
m01673m,dcs:CellularCompartmentMitochondria,bio/CHEMBL353955
m01673n,dcs:CellularCompartmentNucleus,bio/CHEMBL353955
m01673s,dcs:CellularCompartmentExtracellular,bio/CHEMBL353955
m01674c,dcs:CellularCompartmentCytosol,bio/MNXM481
m01674l,dcs:CellularCompartmentLysosome,bio/MNXM481
m01674m,dcs:CellularCompartmentMitochondria,bio/MNXM481
m01675c,dcs:CellularCompartmentCytosol,bio/CHEMBL455876
m01676c,dcs:CellularCompartmentCytosol,bio/MNXM17230
m01677c,dcs:CellularCompartmentCytosol,bio/MNXM1003
m01678c,dcs:CellularCompartmentCytosol,bio/MNXM1003
m01679c,dcs:CellularCompartmentCytosol,bio/MNXM5165
m01679g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM5165
m01679l,dcs:CellularCompartmentLysosome,bio/MNXM5165
m01679r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM5165
m01680c,dcs:CellularCompartmentCytosol,bio/CHEMBL1232205
m01680m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1232205
m01680n,dcs:CellularCompartmentNucleus,bio/CHEMBL1232205
m01681c,dcs:CellularCompartmentCytosol,bio/MNXM744
m01682c,dcs:CellularCompartmentCytosol,bio/CHEMBL1682
m01682g,dcs:CellularCompartmentGolgiApparatus,bio/CHEMBL1682
m01682l,dcs:CellularCompartmentLysosome,bio/CHEMBL1682
m01682s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1682
m01683c,dcs:CellularCompartmentCytosol,bio/CHEMBL464345
m01684c,dcs:CellularCompartmentCytosol,bio/MNXM1165
m01685c,dcs:CellularCompartmentCytosol,bio/MNXM162962
m01685r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM162962
m01686c,dcs:CellularCompartmentCytosol,bio/CHEMBL477487
m01686l,dcs:CellularCompartmentLysosome,bio/CHEMBL477487
m01686m,dcs:CellularCompartmentMitochondria,bio/CHEMBL477487
m01687r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM17162
m01687c,dcs:CellularCompartmentCytosol,bio/MNXM17162
m01687s,dcs:CellularCompartmentExtracellular,bio/MNXM17162
m01688c,dcs:CellularCompartmentCytosol,bio/CHEMBL477486
m01688m,dcs:CellularCompartmentMitochondria,bio/CHEMBL477486
m01688n,dcs:CellularCompartmentNucleus,bio/CHEMBL477486
m01689c,dcs:CellularCompartmentCytosol,bio/CHEMBL367149
m01689l,dcs:CellularCompartmentLysosome,bio/CHEMBL367149
m01689r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL367149
m01689s,dcs:CellularCompartmentExtracellular,bio/CHEMBL367149
m01690c,dcs:CellularCompartmentCytosol,bio/CHEMBL1161998
m01690m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1161998
m01690p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL1161998
m01690s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1161998
m01691c,dcs:CellularCompartmentCytosol,bio/MNXM5126
m01692c,dcs:CellularCompartmentCytosol,bio/CHEMBL449486
m01693c,dcs:CellularCompartmentCytosol,bio/MNXM2174
m01693m,dcs:CellularCompartmentMitochondria,bio/MNXM2174
m01693n,dcs:CellularCompartmentNucleus,bio/MNXM2174
m01694c,dcs:CellularCompartmentCytosol,bio/MNXM90975
m01694g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM90975
m01694l,dcs:CellularCompartmentLysosome,bio/MNXM90975
m01695c,dcs:CellularCompartmentCytosol,bio/MNXM91564
m01695g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM91564
m01695s,dcs:CellularCompartmentExtracellular,bio/MNXM91564
m01696c,dcs:CellularCompartmentCytosol,bio/CHEMBL465183
m01696l,dcs:CellularCompartmentLysosome,bio/CHEMBL465183
m01696r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL465183
m01696s,dcs:CellularCompartmentExtracellular,bio/CHEMBL465183
m01697c,dcs:CellularCompartmentCytosol,bio/MNXM1536
m01697m,dcs:CellularCompartmentMitochondria,bio/MNXM1536
m01697r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM1536
m01698c,dcs:CellularCompartmentCytosol,bio/MNXM162257
m01699c,dcs:CellularCompartmentCytosol,bio/MNXM8543
m01700c,dcs:CellularCompartmentCytosol,bio/CHEMBL46294
m01700l,dcs:CellularCompartmentLysosome,bio/CHEMBL46294
m01700m,dcs:CellularCompartmentMitochondria,bio/CHEMBL46294
m01700s,dcs:CellularCompartmentExtracellular,bio/CHEMBL46294
m01701c,dcs:CellularCompartmentCytosol,bio/MNXM1277
m01701m,dcs:CellularCompartmentMitochondria,bio/MNXM1277
m01702c,dcs:CellularCompartmentCytosol,bio/MNXM3585
m01703m,dcs:CellularCompartmentMitochondria,bio/MNXM1663
m01704c,dcs:CellularCompartmentCytosol,bio/MNXM993
m01704s,dcs:CellularCompartmentExtracellular,bio/MNXM993
m01705c,dcs:CellularCompartmentCytosol,bio/MNXM772
m01705m,dcs:CellularCompartmentMitochondria,bio/MNXM772
m01706c,dcs:CellularCompartmentCytosol,bio/CHEMBL343480
m01707c,dcs:CellularCompartmentCytosol,bio/CHEMBL120433
m01708c,dcs:CellularCompartmentCytosol,bio/MNXM464
m01708m,dcs:CellularCompartmentMitochondria,bio/MNXM464
m01709c,dcs:CellularCompartmentCytosol,bio/MNXM1922
m01710c,dcs:CellularCompartmentCytosol,bio/MNXM51183
m01711c,dcs:CellularCompartmentCytosol,bio/MNXM8553
m01711g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM8553
m01711s,dcs:CellularCompartmentExtracellular,bio/MNXM8553
m01712c,dcs:CellularCompartmentCytosol,bio/MNXM11408
m01712g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM11408
m01712s,dcs:CellularCompartmentExtracellular,bio/MNXM11408
m01713c,dcs:CellularCompartmentCytosol,bio/CHEMBL47903
m01714c,dcs:CellularCompartmentCytosol,bio/MNXM1325
m01714m,dcs:CellularCompartmentMitochondria,bio/MNXM1325
m01714n,dcs:CellularCompartmentNucleus,bio/MNXM1325
m01714s,dcs:CellularCompartmentExtracellular,bio/MNXM1325
m01715c,dcs:CellularCompartmentCytosol,bio/MNXM909
m01716c,dcs:CellularCompartmentCytosol,bio/CHEMBL358850
m01716m,dcs:CellularCompartmentMitochondria,bio/CHEMBL358850
m01716s,dcs:CellularCompartmentExtracellular,bio/CHEMBL358850
m01717c,dcs:CellularCompartmentCytosol,bio/MNXM48557
m01718c,dcs:CellularCompartmentCytosol,bio/CHEMBL279107
m01718n,dcs:CellularCompartmentNucleus,bio/CHEMBL279107
m01719c,dcs:CellularCompartmentCytosol,bio/MNXM17355
m01720c,dcs:CellularCompartmentCytosol,bio/MNXM5722
m01721c,dcs:CellularCompartmentCytosol,bio/MNXM634
m01721n,dcs:CellularCompartmentNucleus,bio/MNXM634
m01722c,dcs:CellularCompartmentCytosol,bio/MNXM14908
m01722n,dcs:CellularCompartmentNucleus,bio/MNXM14908
m01723c,dcs:CellularCompartmentCytosol,bio/MNXM8387
m01723m,dcs:CellularCompartmentMitochondria,bio/MNXM8387
m01723r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM8387
m01724c,dcs:CellularCompartmentCytosol,bio/MNXM158874
m01724m,dcs:CellularCompartmentMitochondria,bio/MNXM158874
m01724r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM158874
m01725c,dcs:CellularCompartmentCytosol,bio/MNXM10780
m01725m,dcs:CellularCompartmentMitochondria,bio/MNXM10780
m01725p,dcs:CellularCompartmentPeroxisome,bio/MNXM10780
m01725r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM10780
m01726c,dcs:CellularCompartmentCytosol,bio/docosenoylcarnitine(11)
m01726m,dcs:CellularCompartmentMitochondria,bio/docosenoylcarnitine(11)
m01726r,dcs:CellularCompartmentEndoplasmicReticulum,bio/docosenoylcarnitine(11)
m01727c,dcs:CellularCompartmentCytosol,bio/docosenoylcarnitine
m01727m,dcs:CellularCompartmentMitochondria,bio/docosenoylcarnitine
m01727r,dcs:CellularCompartmentEndoplasmicReticulum,bio/docosenoylcarnitine
m01728c,dcs:CellularCompartmentCytosol,bio/MNXM5723
m01729c,dcs:CellularCompartmentCytosol,bio/MNXM51468
m01729m,dcs:CellularCompartmentMitochondria,bio/MNXM51468
m01729r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM51468
m01730c,dcs:CellularCompartmentCytosol,bio/MNXM147098
m01730r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM147098
m01730s,dcs:CellularCompartmentExtracellular,bio/MNXM147098
m01731r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM146386
m01732c,dcs:CellularCompartmentCytosol,bio/MNXM148228
m01732r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM148228
m01733c,dcs:CellularCompartmentCytosol,bio/MNXM145597
m01733r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM145597
m01734c,dcs:CellularCompartmentCytosol,bio/MNXM145684
m01734r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM145684
m01735c,dcs:CellularCompartmentCytosol,bio/MNXM51534
m01736c,dcs:CellularCompartmentCytosol,bio/CHEMBL59
m01736g,dcs:CellularCompartmentGolgiApparatus,bio/CHEMBL59
m01736m,dcs:CellularCompartmentMitochondria,bio/CHEMBL59
m01736s,dcs:CellularCompartmentExtracellular,bio/CHEMBL59
m01737c,dcs:CellularCompartmentCytosol,bio/MNXM163796
m01737s,dcs:CellularCompartmentExtracellular,bio/MNXM163796
m01738c,dcs:CellularCompartmentCytosol,bio/MNXM5727
m01739c,dcs:CellularCompartmentCytosol,bio/CHEMBL92636
m01740c,dcs:CellularCompartmentCytosol,bio/CHEMBL103686
m01740p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL103686
m01740s,dcs:CellularCompartmentExtracellular,bio/CHEMBL103686
m01741c,dcs:CellularCompartmentCytosol,bio/CHEMBL496634
m01741l,dcs:CellularCompartmentLysosome,bio/CHEMBL496634
m01741r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL496634
m01741s,dcs:CellularCompartmentExtracellular,bio/CHEMBL496634
m01742c,dcs:CellularCompartmentCytosol,bio/CHEMBL80257
m01742l,dcs:CellularCompartmentLysosome,bio/CHEMBL80257
m01742s,dcs:CellularCompartmentExtracellular,bio/CHEMBL80257
m01743c,dcs:CellularCompartmentCytosol,bio/CHEMBL195989
m01743s,dcs:CellularCompartmentExtracellular,bio/CHEMBL195989
m01744c,dcs:CellularCompartmentCytosol,bio/CHEMBL285123
m01744s,dcs:CellularCompartmentExtracellular,bio/CHEMBL285123
m01745c,dcs:CellularCompartmentCytosol,bio/CHEMBL1236183
m01745s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1236183
m01746c,dcs:CellularCompartmentCytosol,bio/MNXM164716
m01747c,dcs:CellularCompartmentCytosol,bio/CHEMBL259724
m01747m,dcs:CellularCompartmentMitochondria,bio/CHEMBL259724
m01747n,dcs:CellularCompartmentNucleus,bio/CHEMBL259724
m01748c,dcs:CellularCompartmentCytosol,bio/MNXM2371
m01749c,dcs:CellularCompartmentCytosol,bio/MNXM899
m01750c,dcs:CellularCompartmentCytosol,bio/MNXM51653
m01751c,dcs:CellularCompartmentCytosol,bio/CHEMBL412989
m01752c,dcs:CellularCompartmentCytosol,bio/CHEMBL394429
m01752l,dcs:CellularCompartmentLysosome,bio/CHEMBL394429
m01752m,dcs:CellularCompartmentMitochondria,bio/CHEMBL394429
m01752n,dcs:CellularCompartmentNucleus,bio/CHEMBL394429
m01753c,dcs:CellularCompartmentCytosol,bio/CHEMBL363559
m01753m,dcs:CellularCompartmentMitochondria,bio/CHEMBL363559
m01753n,dcs:CellularCompartmentNucleus,bio/CHEMBL363559
m01754c,dcs:CellularCompartmentCytosol,bio/CHEMBL9519
m01754m,dcs:CellularCompartmentMitochondria,bio/CHEMBL9519
m01754n,dcs:CellularCompartmentNucleus,bio/CHEMBL9519
m01755c,dcs:CellularCompartmentCytosol,bio/CHEMBL211312
m01755m,dcs:CellularCompartmentMitochondria,bio/CHEMBL211312
m01755n,dcs:CellularCompartmentNucleus,bio/CHEMBL211312
m01756c,dcs:CellularCompartmentCytosol,bio/CHEMBL374361
m01756m,dcs:CellularCompartmentMitochondria,bio/CHEMBL374361
m01756n,dcs:CellularCompartmentNucleus,bio/CHEMBL374361
m01757c,dcs:CellularCompartmentCytosol,bio/MNXM1737
m01758c,dcs:CellularCompartmentCytosol,bio/MNXM348
m01758l,dcs:CellularCompartmentLysosome,bio/MNXM348
m01758s,dcs:CellularCompartmentExtracellular,bio/MNXM348
m01759c,dcs:CellularCompartmentCytosol,bio/CHEMBL195094
m01760c,dcs:CellularCompartmentCytosol,bio/MNXM164720
m01761c,dcs:CellularCompartmentCytosol,bio/MNXM186
m01762c,dcs:CellularCompartmentCytosol,bio/MNXM164752
m01763c,dcs:CellularCompartmentCytosol,bio/MNXM51736
m01764c,dcs:CellularCompartmentCytosol,bio/MNXM51735
m01765c,dcs:CellularCompartmentCytosol,bio/MNXM51766
m01765r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM51766
m01765s,dcs:CellularCompartmentExtracellular,bio/MNXM51766
m01766r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM91187
m01767c,dcs:CellularCompartmentCytosol,bio/CHEMBL1232472
m01767r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL1232472
m01768c,dcs:CellularCompartmentCytosol,bio/CHEMBL290916
m01768s,dcs:CellularCompartmentExtracellular,bio/CHEMBL290916
m01769c,dcs:CellularCompartmentCytosol,bio/MNXM164756
m01770c,dcs:CellularCompartmentCytosol,bio/MNXM149270
m01770m,dcs:CellularCompartmentMitochondria,bio/MNXM149270
m01770r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM149270
m01771c,dcs:CellularCompartmentCytosol,bio/CHEMBL1173381
m01771l,dcs:CellularCompartmentLysosome,bio/CHEMBL1173381
m01771r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL1173381
m01771s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1173381
m01772c,dcs:CellularCompartmentCytosol,bio/MNXM8319
m01772m,dcs:CellularCompartmentMitochondria,bio/MNXM8319
m01772r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM8319
m01773c,dcs:CellularCompartmentCytosol,bio/MNXM1429
m01773m,dcs:CellularCompartmentMitochondria,bio/MNXM1429
m01773p,dcs:CellularCompartmentPeroxisome,bio/MNXM1429
m01773r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM1429
m01774c,dcs:CellularCompartmentCytosol,bio/MNXM8541
m01774m,dcs:CellularCompartmentMitochondria,bio/MNXM8541
m01774r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM8541
m01775c,dcs:CellularCompartmentCytosol,bio/eicosenoylcarnitine(11)
m01775m,dcs:CellularCompartmentMitochondria,bio/eicosenoylcarnitine(11)
m01775r,dcs:CellularCompartmentEndoplasmicReticulum,bio/eicosenoylcarnitine(11)
m01776c,dcs:CellularCompartmentCytosol,bio/eicosenoylcarnitine(7)
m01776m,dcs:CellularCompartmentMitochondria,bio/eicosenoylcarnitine(7)
m01776r,dcs:CellularCompartmentEndoplasmicReticulum,bio/eicosenoylcarnitine(7)
m01777c,dcs:CellularCompartmentCytosol,bio/eicosenoylcarnitine(9)
m01777m,dcs:CellularCompartmentMitochondria,bio/eicosenoylcarnitine(9)
m01777r,dcs:CellularCompartmentEndoplasmicReticulum,bio/eicosenoylcarnitine(9)
m01778c,dcs:CellularCompartmentCytosol,bio/CHEMBL460657
m01778l,dcs:CellularCompartmentLysosome,bio/CHEMBL460657
m01778r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL460657
m01778s,dcs:CellularCompartmentExtracellular,bio/CHEMBL460657
m01779r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM5386
m01780r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9492
m01781r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9024
m01782r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9493
m01783r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9023
m01784c,dcs:CellularCompartmentCytosol,bio/CHEMBL460026
m01784l,dcs:CellularCompartmentLysosome,bio/CHEMBL460026
m01784n,dcs:CellularCompartmentNucleus,bio/CHEMBL460026
m01784p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL460026
m01784r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL460026
m01784s,dcs:CellularCompartmentExtracellular,bio/CHEMBL460026
m01785c,dcs:CellularCompartmentCytosol,bio/CHEMBL1232448
m01786c,dcs:CellularCompartmentCytosol,bio/CHEMBL2074591
m01786r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL2074591
m01786s,dcs:CellularCompartmentExtracellular,bio/CHEMBL2074591
m01787c,dcs:CellularCompartmentCytosol,bio/CHEMBL135
m01787r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL135
m01787s,dcs:CellularCompartmentExtracellular,bio/CHEMBL135
m01788c,dcs:CellularCompartmentCytosol,bio/CHEMBL193482
m01788r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL193482
m01788s,dcs:CellularCompartmentExtracellular,bio/CHEMBL193482
m01789c,dcs:CellularCompartmentCytosol,bio/CHEMBL494753
m01789r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL494753
m01789s,dcs:CellularCompartmentExtracellular,bio/CHEMBL494753
m01790c,dcs:CellularCompartmentCytosol,bio/CHEMBL1405
m01790l,dcs:CellularCompartmentLysosome,bio/CHEMBL1405
m01790r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL1405
m01791c,dcs:CellularCompartmentCytosol,bio/MNXM52646
m01791m,dcs:CellularCompartmentMitochondria,bio/MNXM52646
m01791p,dcs:CellularCompartmentPeroxisome,bio/MNXM52646
m01791r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM52646
m01792c,dcs:CellularCompartmentCytosol,bio/MNXM167709
m01792l,dcs:CellularCompartmentLysosome,bio/MNXM167709
m01792r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM167709
m01793c,dcs:CellularCompartmentCytosol,bio/MNXM52647
m01793m,dcs:CellularCompartmentMitochondria,bio/MNXM52647
m01793p,dcs:CellularCompartmentPeroxisome,bio/MNXM52647
m01793r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM52647
m01794c,dcs:CellularCompartmentCytosol,bio/MNXM167710
m01794l,dcs:CellularCompartmentLysosome,bio/MNXM167710
m01794r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM167710
m01795c,dcs:CellularCompartmentCytosol,bio/CHEMBL1232444
m01795r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL1232444
m01795s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1232444
m01796c,dcs:CellularCompartmentCytosol,bio/CHEMBL545
m01796p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL545
m01796s,dcs:CellularCompartmentExtracellular,bio/CHEMBL545
m01797c,dcs:CellularCompartmentCytosol,bio/CHEMBL104943
m01797s,dcs:CellularCompartmentExtracellular,bio/CHEMBL104943
m01798c,dcs:CellularCompartmentCytosol,bio/CHEMBL146972
m01798r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL146972
m01799c,dcs:CellularCompartmentCytosol,bio/MNXM6098
m01799r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM6098
m01799s,dcs:CellularCompartmentExtracellular,bio/MNXM6098
m01800c,dcs:CellularCompartmentCytosol,bio/CHEMBL85799
m01800r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL85799
m01800s,dcs:CellularCompartmentExtracellular,bio/CHEMBL85799
m01801g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM8598
m01801l,dcs:CellularCompartmentLysosome,bio/MNXM8598
m01802c,dcs:CellularCompartmentCytosol,bio/CHEMBL1232653
m01802m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1232653
m01802p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL1232653
m01802r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL1232653
m01802s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1232653
m01803c,dcs:CellularCompartmentCytosol,bio/MNXM38
m01803m,dcs:CellularCompartmentMitochondria,bio/MNXM38
m01803p,dcs:CellularCompartmentPeroxisome,bio/MNXM38
m01803r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM38
m01804c,dcs:CellularCompartmentCytosol,bio/CHEMBL521310
m01805c,dcs:CellularCompartmentCytosol,bio/MNXM4102
m01806c,dcs:CellularCompartmentCytosol,bio/CHEMBL69330
